image,name,description,price
.../Obrazky/jidla/hlavni-tacos.jpg,"Avokádo-kukuřičné Tacos","s omáčkou Zhang a OatYogt",179
.../Obrazky/jidla/hlavni-vege-poke.jpg,"Zeleninová Poke Bowl","s cizrnou a dračím ovocem",179
.../Obrazky/jidla/hlavni-burger.jpg,"Borůvkový burger allá Frigantte","s variací zeleniny a řepovým hummusem",169
.../Obrazky/jidla/hlavni-kuskus-kure.jpg,"Bezlepkový kuskus s kuřecím filetem","a pečenou kukuřící",159
.../Obrazky/jidla/hlavni-kuskus-salat.jpg,"Vegetariánský kuskus","se zeleninovým salátem a oříšky",159
.../Obrazky/jidla/hlavni-kase.jpg,"Cizrnovo-celerový krém s čerstvým salátem","a ovocnou oblohou",169
