image,name,description,price
../Obrazky/jidla/pol-hrasek.webp,'Hráškový krém s krutony','a chřestem',59
../Obrazky/jidla/pol-dyne.webp,'Dýňový krém','na zázvoru a kurkumě',59
../Obrazky/jidla/pol-kvetak.webp,'Květákový krém s krutony','a chřestovým nádechem',59
